processes,vertices,delta,enable_ios,enable_push_pull_pruning,enable_hybridization,hybridization_tau,enable_load_balancing,elapsed_time
48,4096,25,0,0,1,0.4,0,0.0246964
72,2048,25,0,0,1,0.4,0,0.02809
48,131072,25,0,0,1,0.4,0,0.205734
72,4096,25,0,0,1,0.4,0,0.0385342
24,2097152,25,0,0,1,0.4,0,5.35653
24,32768,25,0,0,1,0.4,0,0.038434
24,262144,25,0,0,1,0.4,0,0.555699
96,8192,25,0,0,1,0.4,0,0.0340388
24,16384,25,0,0,1,0.4,0,0.0450895
72,16384,25,0,0,1,0.4,0,0.0486698
96,32768,25,0,0,1,0.4,0,0.0760033
48,2097152,25,0,0,1,0.4,0,1.87407
48,65536,25,0,0,1,0.4,0,0.0509901
48,4096,25,0,0,1,0.4,0,0.0273099
48,1024,25,0,0,1,0.4,0,0.0218694
96,4194304,25,0,0,1,0.4,0,2.65088
24,262144,25,0,0,1,0.4,0,0.203224
96,4096,25,0,0,1,0.4,0,0.0286682
96,65536,25,0,0,1,0.4,0,0.058639
48,2048,25,0,0,1,0.4,0,0.027281
96,1024,25,0,0,1,0.4,0,0.0211792
72,4194304,25,0,0,1,0.4,0,8.37555
72,65536,25,0,0,1,0.4,0,0.106678
48,262144,25,0,0,1,0.4,0,0.401688
96,2048,25,0,0,1,0.4,0,0.0280731
48,65536,25,0,0,1,0.4,0,0.111722
72,2097152,25,0,0,1,0.4,0,3.65415
24,524288,25,0,0,1,0.4,0,0.458378
72,2048,25,0,0,1,0.4,0,0.0247021
72,524288,25,0,0,1,0.4,0,0.710312
24,8192,25,0,0,1,0.4,0,0.0305188
72,4096,25,0,0,1,0.4,0,0.0323417
96,2048,25,0,0,1,0.4,0,0.0265722
72,1048576,25,0,0,1,0.4,0,1.60198
72,8192,25,0,0,1,0.4,0,0.0367899
48,16384,25,0,0,1,0.4,0,0.0301943
96,16384,25,0,0,1,0.4,0,0.0343404
72,8192,25,0,0,1,0.4,0,0.0324023
48,4194304,25,0,0,1,0.4,0,9.9408
